color,design,apparel,flair,accessory
black,floral,cardigan,bolo tie,beret
blue,houndstooth,gown,bowtie,bonnet
crimson,damask,kilt,bracelet,cane
gold,striped,cowboy boots,brooch,fanny pack
green,buffalo check,leggings,eyeglasses,fedora
ivory,plaid,poncho,fascinator,headband
maroon,pin striped,cloak,handkerchief,panama hat
orange,harringbone,sundress,lapel pin,parasol
pink,paisley,riding boots,pendant,sash
purple,gingham,slippers,pocket square,shawl
red,polka dot,overalls,pocket watch,umbrella
silver,twill,sweater,tiara,veil
teal,checkered,sweater vest,boutonniere,waistcoat
white,argyle,hoodie,fan,cap
yellow,celtic knot,windbreaker,boa,walking stick
